flow,product,component,material,Ag,Al,As,Bi,Ca,Cl,Cu,Dy,Ga,Mn,Mo,O,Pd,Sc,Sm,Sr,Zr,total
WEEE_generatedDedicated,WEEE_Cat1,ComponentShadowWEEE,AlAndAlAlloys,0.14405798311831,,0.116058156646385,,,,0.0615779751519515,,0.0794984235261221,0.128782955775645,0.452705452863689,,,,0.32197416748995,,,1.3046551145720526
WEEE_generatedDedicated,WEEE_Cat1,ComponentShadowWEEE,CuAndCuAlloys,0.0051714190969611,,,,,,,0.0942614767901097,,,,,,,,,0.500947824775238,0.6003807206623089
WEEE_generatedDedicated,WEEE_Cat1,ComponentShadowWEEE,aggregateBinderMixedMaterials,0.0251945347285593,,,,,,,,,,,,,,,,,0.0251945347285593
WEEE_generatedDedicated,WEEE_Cat1,ComponentShadowWEEE,ferrousMetals,0.391511662703717,,,,0.449870550333178,,0.381859069434109,,0.220836877641241,,0.253780489236713,0.329827086255868,,,0.575647508575708,,,2.603333244180534
WEEE_generatedDedicated,WEEE_Cat1,ComponentShadowWEEE,glass,0.0427393929734044,,,,,,,,,,,,0.101938906181409,0.354776946605381,,,0.150326223005585,0.6497814687657795
WEEE_generatedDedicated,WEEE_Cat1,ComponentShadowWEEE,glassAndCeramics,0.491343624834963,,,,,,,,,,,,0.490480894345129,0.123188076871586,,,0.393763563606519,1.4987761596581968
WEEE_generatedDedicated,WEEE_Cat1,ComponentShadowWEEE,non-ferrousMetals,0.5722030069704,0.59140340591256,0.130187527055596,,0.481853268155503,0.253933916662773,0.0518464624522962,0.241961301812682,0.269441757450682,0.395304382229967,0.427571759600634,0.163479780831576,0.101071553610275,,0.57423216495423,0.148247004711119,0.372545302318705,4.775282594728998
WEEE_generatedDedicated,WEEE_Cat1,ComponentShadowWEEE,otherMetalsAndMetalAlloys,0.26221894852052,0.493048731233755,,,,,,0.259888023079371,,,,,,,,,,1.015155702833646
WEEE_generatedDedicated,WEEE_Cat1,ComponentShadowWEEE,otherMinerals,0.168963980311539,,,,,,,,,,,,0.399354872074916,0.310159125355837,,,0.190746228420011,1.069224206162303
WEEE_generatedDedicated,WEEE_Cat1,ComponentShadowWEEE,otherOrUndefinedMaterials,0.0135291978522684,,,,,,,,,,,,,,,,,0.0135291978522684
WEEE_generatedDedicated,WEEE_Cat1,ComponentShadowWEEE,otherOrganics,0.21609864257809,,,,,,,,,,,,,,,,,0.21609864257809
WEEE_generatedDedicated,WEEE_Cat1,ComponentShadowWEEE,plastics,0.193464622016145,,,,,,,,,,,,,,,,,0.193464622016145
WEEE_generatedDedicated,WEEE_Cat1,ComponentShadowWEEE,undefinedAndMixedMaterials,0.10896439611113,,,,,,,,,,,,,,,,,0.10896439611113
WEEE_generatedDedicated,WEEE_Cat1,ComponentShadowWEEE,wood,0.140019059312552,,,,,,,,,,,,,,,,,0.140019059312552
WEEE_generatedDedicated,WEEE_Cat1,LidarSensor (&lt;15cm),AlAndAlAlloys,0.319112841371211,,0.266831943575475,,,,0.458691030010658,,0.20602009093715,0.397999485710244,0.537198209183324,,,,0.0974247676312886,,,2.2832783684193503
WEEE_generatedDedicated,WEEE_Cat1,LidarSensor (&lt;15cm),CuAndCuAlloys,0.215766792642024,,,,,,,0.549119243157542,,,,,,,,,0.566452153148544,1.3313381889481102
WEEE_generatedDedicated,WEEE_Cat1,LidarSensor (&lt;15cm),ferrousMetals,0.204943429518809,,,,0.150704604267427,,0.328649212567313,,0.230911644165488,,0.543286755061929,0.554238919775809,,,0.558673082201086,,,2.571407647557861
WEEE_generatedDedicated,WEEE_Cat1,LidarSensor (&lt;15cm),glass,0.296518988017441,,,,,,,,,,,,0.264069007794015,0.477136005762955,,,0.566443620501416,1.6041676220758267
WEEE_generatedDedicated,WEEE_Cat1,LidarSensor (&lt;15cm),plastics,0.38493615425836,,,,,,,,,,,,,,,,,0.38493615425836
WEEE_generatedDedicated,WEEE_Cat1,MagnetSensor,CuAndCuAlloys,0.548028992201406,,,,,,,0.248569526239934,,,,,,,,,0.120074241121369,0.916672759562709
WEEE_generatedDedicated,WEEE_Cat1,MagnetSensor,ferrousMetals,0.283535777230228,,,,0.339036965147031,,,,0.425505460958929,,0.43873508067865,,,,0.577416794573593,,,2.064230078588431
WEEE_generatedDedicated,WEEE_Cat1,MagnetSensor,plastics,0.456402449685429,,,,,,,,,,,,,,,,,0.456402449685429
WEEE_generatedDedicated,WEEE_Cat1,PCBWEEECat,otherOrUndefinedMaterials,0.33975880996626,,,,,,,,,,,,,,,,,0.33975880996626
WEEE_generatedDedicated,WEEE_Cat1,PCBunspecified,ferrousMetals,0.53214577539793,,,,,,0.255923084672253,,0.480131849723489,,0.252780198182048,0.14768361580715,,,0.0771297230083522,,,1.7457942467912222
WEEE_generatedDedicated,WEEE_Cat1,PVBacksheet,plasticComposites,0.314590508958083,,,,,,,,,,,,,,,,,0.314590508958083
WEEE_generatedDedicated,WEEE_Cat1,PVBacksheet,plastics,0.0332698987492531,,,,,,,,,,,,,,,,,0.0332698987492531
WEEE_generatedDedicated,WEEE_Cat1,PVEncapsulationEVA,plastics,0.405638325801208,,,,,,,,,,,,,,,,,0.405638325801208
WEEE_generatedDedicated,WEEE_Cat1,PVFrameAl,CuAndCuAlloys,0.230793434272004,,0.0272595806380729,,,,0.168487292664366,,0.380480961317271,0.448411837452755,0.140925601152235,,,,0.336004663258977,,,1.732363370755681
WEEE_generatedDedicated,WEEE_Cat1,PVSolarGlass,glass,0.241993152859789,,,,,,,,,,,,0.423523006431487,0.543150006272859,,,0.171602285074179,1.380268450638314
WEEE_generatedDedicated,WEEE_Cat1,PVcellSi,otherOrUndefinedMaterials,0.428933565709403,,,,,,,,,,,,,,,,,0.428933565709403
WEEE_generatedDedicated,WEEE_Cat1,WEEEEvaporator,CuAndCuAlloys,0.4920579672258,,,,,,,0.245176856679493,,,,,,,,,0.423185425236014,1.160420249141307
WEEE_generatedDedicated,WEEE_Cat1,WEEEEvaporator,steelAndSteelAlloys,0.403644759450127,,,,,,0.0270656275823039,,0.0744695135040511,,0.594622411968785,0.512617945481157,,,0.0511485900627709,,,1.663568848049195
WEEE_generatedDedicated,WEEE_Cat1,brush,AlAndAlAlloys,0.408962997320481,,0.214954735403481,,,,0.370650662737733,,0.217866199731203,0.555886111630622,0.323648322959434,,,,0.474673349470115,,,2.566642379253069
WEEE_generatedDedicated,WEEE_Cat1,brush,ferrousMetals,0.0828716153933229,,,,0.589870490938515,,,,0.13179004434215,,0.412730262000727,,,,0.30739539132054,,,1.5246578039952547
WEEE_generatedDedicated,WEEE_Cat1,brush,plastics,0.511491113453669,,,,,,,,,,,,,,,,,0.511491113453669
WEEE_generatedDedicated,WEEE_Cat1,cableUnspecified,AlAndAlAlloys,0.361179444560356,,0.313443095961074,,,,0.258822138074804,,0.104290855282973,0.319055583166779,0.507324186432231,,,,0.247762796631467,,,2.111878100109684
WEEE_generatedDedicated,WEEE_Cat1,cableUnspecified,CuAndCuAlloys,0.0420855339561244,,,,,,,0.269683381673872,,,,,,,,,0.537456784136455,0.8492256997664515
WEEE_generatedDedicated,WEEE_Cat1,cableUnspecified,ferrousMetals,0.35519928436906,,,,,,0.33379194023293,,0.14239779371363,,0.223573370580304,0.0581182547688417,,,0.14686828801454,,,1.2599489316793058
WEEE_generatedDedicated,WEEE_Cat1,cableUnspecified,plastics,0.336363088478691,,,,,,,,,,,,,,,,,0.336363088478691
WEEE_generatedDedicated,WEEE_Cat1,cableWPlug,plastics,0.569427684741627,,,,,,,,,,,,,,,,,0.569427684741627
WEEE_generatedDedicated,WEEE_Cat1,cableWithConnector,CuAndCuAlloys,0.135001660543891,,,,,,,0.300308167689414,,,,,,,,,0.311909872554561,0.747219700787866
WEEE_generatedDedicated,WEEE_Cat1,cables,otherOrUndefinedMaterials,0.346871167116237,,,,,,,,,,,,,,,,,0.346871167116237
