,product,component,material,element,process,WEEE_generatedComplementaryExported,WEEE_2RM_thermal2Smelter_other,WEEE_mechRec2_chem,WEEE_generatedComplementaryUndocumented,WEEE_2RM_mechRec1Smelter_other,WEEE_generatedComplementaryMSW,WEEE_wasteBinLandfill,WEEE_2RM_mechRec2Smelter_other,WEEE_wasteBinIncineration,WEEE_thermal_chem,WEEE_2RM_chem2Smelter_other,WEEE_generatedComplementaryMetalScrap,WEEE_collected,WEEE_generatedDedicated,WEEE_mechRec2_thermal,WEEE_mechRec1_mechRec2,WEEE_chem_thermal,WEEE_categ_mechRec2,WEEE_categ_mechRec1,mass_balance
0,WEEE_Cat1,,,,WEEE_complementary_collection(MSW),0.0,,,0.0,,931644.7958508673,-335392.1265063122,,-139746.7193776301,,,0.0,0.0,0.0,,,,0.0,0.0,456505.949966925
1,WEEE_Cat1,ComponentShadowWEEE,,,WEEE_complementary_collection(MSW),0.0,,,0.0,0.0,7993.670877155485,-2877.7215157759747,,-1199.0506315733228,,,0.0,0.0,0.0,,0.0,,0.0,0.0,3916.8987298061875
2,WEEE_Cat1,ComponentShadowWEEE,AlAndAlAlloys,,WEEE_complementary_collection(MSW),0.0,,,0.0,0.0,543.3464191428394,-195.60471089142217,0.0,-81.5019628714259,,,0.0,0.0,0.0,,0.0,,0.0,0.0,266.2397453799913
3,WEEE_Cat1,ComponentShadowWEEE,AlAndAlAlloys,Ag,WEEE_complementary_collection(MSW),0.0,,,0.0,0.0,80.28992706181651,-28.904373742253945,0.0,-12.043489059272476,,,0.0,0.0,0.0,,0.0,,0.0,0.0,39.342064260290094
4,WEEE_Cat1,ComponentShadowWEEE,AlAndAlAlloys,As,WEEE_complementary_collection(MSW),0.0,,,0.0,0.0,1.4323340622519347,-0.5156402624106965,0.0,-0.2148501093377902,,,0.0,0.0,0.0,,0.0,,0.0,0.0,0.701843690503448
5,WEEE_Cat1,ComponentShadowWEEE,AlAndAlAlloys,Cu,WEEE_complementary_collection(MSW),0.0,,,0.0,0.0,278.53881232054005,-100.27397243539441,0.0,-41.780821848081004,,,0.0,0.0,0.0,,0.0,,0.0,0.0,136.48401803706463
6,WEEE_Cat1,ComponentShadowWEEE,AlAndAlAlloys,Ga,WEEE_complementary_collection(MSW),0.0,,,0.0,0.0,116.63398577093646,-41.988234877537124,0.0,-17.495097865640467,,,0.0,0.0,0.0,,0.0,,0.0,0.0,57.15065302775887
7,WEEE_Cat1,ComponentShadowWEEE,AlAndAlAlloys,Mn,WEEE_complementary_collection(MSW),0.0,,,0.0,0.0,17.591406626705723,-6.33290638561406,0.0,-2.638710994005858,,,0.0,0.0,0.0,,0.0,,0.0,0.0,8.619789247085805
8,WEEE_Cat1,ComponentShadowWEEE,AlAndAlAlloys,Mo,WEEE_complementary_collection(MSW),0.0,,,0.0,0.0,10.165041179262458,-3.6594148245344846,0.0,-1.5247561768893687,,,0.0,0.0,0.0,,0.0,,0.0,0.0,4.980870177838604
9,WEEE_Cat1,ComponentShadowWEEE,AlAndAlAlloys,Sm,WEEE_complementary_collection(MSW),0.0,,,0.0,0.0,38.694912121325856,-13.930168363677307,0.0,-5.804236818198878,,,0.0,0.0,0.0,,0.0,,0.0,0.0,18.960506939449672
10,WEEE_Cat1,ComponentShadowWEEE,CuAndCuAlloys,,WEEE_complementary_collection(MSW),0.0,,,0.0,0.0,99.65278295893083,-35.8750018652151,0.0,-14.947917443839623,,,0.0,0.0,0.0,,0.0,,0.0,0.0,48.82986364987611
11,WEEE_Cat1,ComponentShadowWEEE,CuAndCuAlloys,Ag,WEEE_complementary_collection(MSW),0.0,,,0.0,0.0,58.47381676476763,-21.050574035316348,0.0,-8.771072514715145,,,0.0,0.0,0.0,,0.0,,0.0,0.0,28.652170214736145
12,WEEE_Cat1,ComponentShadowWEEE,CuAndCuAlloys,Dy,WEEE_complementary_collection(MSW),0.0,,,0.0,0.0,14.825008625843418,-5.33700310530363,0.0,-2.2237512938765125,,,0.0,0.0,0.0,,0.0,,0.0,0.0,7.264254226663276
13,WEEE_Cat1,ComponentShadowWEEE,CuAndCuAlloys,Zr,WEEE_complementary_collection(MSW),0.0,,,0.0,0.0,26.353957568319686,-9.487424724595087,0.0,-3.953093635247953,,,0.0,0.0,0.0,,0.0,,0.0,0.0,12.913439208476646
14,WEEE_Cat1,ComponentShadowWEEE,MaterialShadowWEEE,,WEEE_complementary_collection(MSW),0.0,,,0.0,0.0,1429.1963134637404,-514.5106728469465,0.0,-214.37944701956104,,,0.0,0.0,0.0,,0.0,,0.0,0.0,700.3061935972328
15,WEEE_Cat1,ComponentShadowWEEE,aggregateBinderMixedMaterials,,WEEE_complementary_collection(MSW),0.0,,,0.0,0.0,1132.5453153573758,-407.7163135286553,0.0,-169.88179730360636,,,0.0,0.0,0.0,,0.0,,0.0,0.0,554.9472045251141
16,WEEE_Cat1,ComponentShadowWEEE,aggregateBinderMixedMaterials,Ag,WEEE_complementary_collection(MSW),0.0,,,0.0,0.0,1132.5453153573758,-407.7163135286553,0.0,-169.88179730360636,,,0.0,0.0,0.0,,0.0,,0.0,0.0,554.9472045251141
17,WEEE_Cat1,ComponentShadowWEEE,ferrousMetals,,WEEE_complementary_collection(MSW),0.0,,,0.0,0.0,836.0255583863876,-300.96920101909956,0.0,-125.40383375795814,,,0.0,0.0,0.0,,0.0,,0.0,0.0,409.6525236093299
18,WEEE_Cat1,ComponentShadowWEEE,ferrousMetals,Ag,WEEE_complementary_collection(MSW),0.0,,,0.0,0.0,164.42232138552345,-59.19203569878844,0.0,-24.663348207828516,,,0.0,0.0,0.0,,0.0,,0.0,0.0,80.5669374789065
19,WEEE_Cat1,ComponentShadowWEEE,ferrousMetals,Ca,WEEE_complementary_collection(MSW),0.0,,,0.0,0.0,99.20070471492996,-35.712253697374784,0.0,-14.880105707239492,,,0.0,0.0,0.0,,0.0,,0.0,0.0,48.60834531031568
20,WEEE_Cat1,ComponentShadowWEEE,ferrousMetals,Cu,WEEE_complementary_collection(MSW),0.0,,,0.0,0.0,219.83832298572224,-79.14179627486,0.0,-32.97574844785834,,,0.0,0.0,0.0,,0.0,,0.0,0.0,107.72077826300392
